transaction_id,date,category,vendor,amount,payment_method,budget_allocated
TXN-0001,2025-07-01,Transportation,Metro Card,14.39,Cash,90
TXN-0002,2025-07-01,Health,Walgreens,21.22,Credit Card,60
TXN-0003,2025-07-01,Entertainment,Concert Tickets,17.17,Debit Card,80
TXN-0004,2025-07-01,Entertainment,Netflix,13.98,Credit Card,80
TXN-0005,2025-07-02,Groceries,Costco,22.89,Debit Card,280
TXN-0006,2025-07-02,Groceries,Costco,8.35,Debit Card,280
TXN-0007,2025-07-03,Groceries,Costco,14.71,Debit Card,280
TXN-0008,2025-07-04,Groceries,Walmart,20.61,Cash,280
TXN-0009,2025-07-04,Dining Out,Subway,9.43,Debit Card,120
TXN-0010,2025-07-05,Dining Out,Starbucks,5.47,Credit Card,120
TXN-0011,2025-07-05,Transportation,Parking Meter,7.18,Debit Card,90
TXN-0012,2025-07-06,Subscriptions,iCloud,15.0,Cash,45
TXN-0013,2025-07-06,Transportation,Metro Card,11.21,Venmo,90
TXN-0014,2025-07-07,Groceries,Aldi,25.91,Apple Pay,280
TXN-0015,2025-07-07,Dining Out,Panera,17.39,Apple Pay,120
TXN-0016,2025-07-07,Dining Out,Chipotle,4.76,Venmo,120
TXN-0017,2025-07-07,Dining Out,Campus Cafe,7.41,Cash,120
TXN-0018,2025-07-08,Entertainment,Concert Tickets,17.27,Debit Card,80
TXN-0019,2025-07-08,Groceries,Safeway,16.8,Credit Card,280
TXN-0020,2025-07-08,Textbooks,Amazon,3.0,Cash,60
TXN-0021,2025-07-08,Entertainment,Steam,12.08,Cash,80
TXN-0022,2025-07-08,Dining Out,Campus Cafe,12.29,Debit Card,120
TXN-0023,2025-07-09,Groceries,Walmart,18.78,Apple Pay,280
TXN-0024,2025-07-09,Transportation,Lyft,12.84,Debit Card,90
TXN-0025,2025-07-09,Dining Out,Thai Express,5.52,Debit Card,120
TXN-0026,2025-07-11,Rent,Campus Housing Office,850.0,Venmo,850
TXN-0027,2025-07-12,Transportation,Lyft,11.21,Cash,90
TXN-0028,2025-07-12,Groceries,Walmart,18.16,Debit Card,280
TXN-0029,2025-07-12,Groceries,Walmart,21.8,Credit Card,280
TXN-0030,2025-07-12,Dining Out,Campus Cafe,13.18,Venmo,120
TXN-0031,2025-07-13,Dining Out,Chipotle,10.75,Debit Card,120
TXN-0032,2025-07-13,Entertainment,Steam,18.55,Venmo,80
TXN-0033,2025-07-14,Entertainment,Concert Tickets,29.31,Apple Pay,80
TXN-0034,2025-07-14,Health,CVS Pharmacy,17.73,Credit Card,60
TXN-0035,2025-07-14,Health,Walgreens,15.74,Debit Card,60
TXN-0036,2025-07-14,Dining Out,Campus Cafe,3.0,Venmo,120
TXN-0037,2025-07-15,Dining Out,Starbucks,5.78,Debit Card,120
TXN-0038,2025-07-15,Transportation,Metro Card,6.54,Debit Card,90
TXN-0039,2025-07-16,Entertainment,Bowling Alley,8.53,Debit Card,80
TXN-0040,2025-07-16,Textbooks,Amazon,36.67,Credit Card,60
TXN-0041,2025-07-16,Transportation,Uber,3.0,Debit Card,90
TXN-0042,2025-07-17,Subscriptions,Netflix,15.0,Apple Pay,45
TXN-0043,2025-07-18,Health,Campus Health Center,20.68,Apple Pay,60
TXN-0044,2025-07-18,Groceries,Trader Joe's,34.39,Debit Card,280
TXN-0045,2025-07-19,Entertainment,Concert Tickets,16.61,Venmo,80
TXN-0046,2025-07-20,Groceries,Costco,25.84,Credit Card,280
TXN-0047,2025-07-20,Dining Out,Subway,3.25,Credit Card,120
TXN-0048,2025-07-20,Dining Out,Subway,11.64,Venmo,120
TXN-0049,2025-07-20,Groceries,Aldi,14.19,Cash,280
TXN-0050,2025-07-21,Transportation,Gas Station,8.02,Debit Card,90
TXN-0051,2025-07-21,Groceries,Costco,16.36,Debit Card,280
TXN-0052,2025-07-21,Groceries,Aldi,16.36,Credit Card,280
TXN-0053,2025-07-24,Transportation,Uber,4.17,Debit Card,90
TXN-0054,2025-07-24,Dining Out,Pizza Hut,9.44,Cash,120
TXN-0055,2025-07-24,Entertainment,Netflix,15.48,Debit Card,80
TXN-0056,2025-07-24,Transportation,Metro Card,6.98,Debit Card,90
TXN-0057,2025-07-25,Textbooks,eBay,25.72,Debit Card,60
TXN-0058,2025-07-25,Dining Out,Campus Cafe,5.69,Credit Card,120
TXN-0059,2025-07-26,Dining Out,Subway,8.36,Debit Card,120
TXN-0060,2025-07-26,Dining Out,Campus Cafe,6.1,Credit Card,120
TXN-0061,2025-07-26,Clothing,Nike,33.72,Cash,50
TXN-0062,2025-07-27,Transportation,Metro Card,12.12,Cash,90
TXN-0063,2025-07-27,Entertainment,AMC Theaters,16.51,Debit Card,80
TXN-0064,2025-07-28,Health,CVS Pharmacy,11.38,Debit Card,60
TXN-0065,2025-07-28,Groceries,Aldi,15.01,Credit Card,280
TXN-0066,2025-07-28,Groceries,Walmart,3.81,Debit Card,280
TXN-0067,2025-07-28,Dining Out,Pizza Hut,5.23,Debit Card,120
TXN-0068,2025-07-28,Dining Out,Panera,14.58,Debit Card,120
TXN-0069,2025-07-29,Entertainment,Spotify,9.07,Cash,80
TXN-0070,2025-07-29,Subscriptions,iCloud,15.0,Credit Card,45
TXN-0071,2025-07-30,Subscriptions,Adobe CC,15.0,Debit Card,45
TXN-0072,2025-07-30,Utilities,Electric Co.,120.47,Debit Card,100
TXN-0073,2025-07-30,Entertainment,AMC Theaters,19.51,Cash,80
TXN-0074,2025-07-31,Groceries,Walmart,15.53,Venmo,280
TXN-0075,2025-07-31,Clothing,Nike,38.9,Debit Card,50
TXN-0076,2025-07-31,Transportation,Metro Card,9.62,Debit Card,90
TXN-0077,2025-08-01,Entertainment,Bowling Alley,16.03,Cash,80
TXN-0078,2025-08-02,Transportation,Uber,10.46,Credit Card,90
TXN-0079,2025-08-02,Clothing,Nike,33.23,Apple Pay,50
TXN-0080,2025-08-02,Entertainment,Spotify,17.24,Apple Pay,80
TXN-0081,2025-08-03,Entertainment,Netflix,13.45,Debit Card,80
TXN-0082,2025-08-03,Dining Out,Thai Express,3.66,Debit Card,120
TXN-0083,2025-08-04,Dining Out,Chick-fil-A,13.78,Debit Card,120
TXN-0084,2025-08-04,Entertainment,Steam,4.95,Cash,80
TXN-0085,2025-08-04,Groceries,Costco,22.0,Venmo,280
TXN-0086,2025-08-04,Entertainment,Steam,18.92,Cash,80
TXN-0087,2025-08-04,Transportation,Gas Station,5.57,Debit Card,90
TXN-0088,2025-08-05,Health,Campus Health Center,17.5,Venmo,60
TXN-0089,2025-08-05,Health,GNC,10.49,Venmo,60
TXN-0090,2025-08-05,Groceries,Costco,16.04,Debit Card,280
TXN-0091,2025-08-07,Transportation,Metro Card,4.36,Debit Card,90
TXN-0092,2025-08-07,Groceries,Costco,34.72,Debit Card,280
TXN-0093,2025-08-07,Rent,Campus Housing Office,850.0,Debit Card,850
TXN-0094,2025-08-07,Dining Out,Chick-fil-A,15.22,Venmo,120
TXN-0095,2025-08-08,Dining Out,Subway,17.77,Venmo,120
TXN-0096,2025-08-08,Entertainment,Netflix,19.16,Credit Card,80
TXN-0097,2025-08-09,Dining Out,Thai Express,5.09,Debit Card,120
TXN-0098,2025-08-09,Transportation,Lyft,7.25,Venmo,90
TXN-0099,2025-08-09,Subscriptions,iCloud,15.0,Debit Card,45
TXN-0100,2025-08-10,Dining Out,Chick-fil-A,10.01,Cash,120
TXN-0101,2025-08-10,Dining Out,Campus Cafe,15.68,Debit Card,120
TXN-0102,2025-08-10,Dining Out,Campus Cafe,18.39,Apple Pay,120
TXN-0103,2025-08-12,Transportation,Gas Station,10.61,Apple Pay,90
TXN-0104,2025-08-12,Transportation,Gas Station,8.18,Credit Card,90
TXN-0105,2025-08-12,Transportation,Parking Meter,4.47,Apple Pay,90
TXN-0106,2025-08-12,Health,CVS Pharmacy,12.85,Credit Card,60
TXN-0107,2025-08-13,Health,Walgreens,9.81,Debit Card,60
TXN-0108,2025-08-13,Dining Out,Pizza Hut,7.27,Debit Card,120
TXN-0109,2025-08-13,Entertainment,Steam,14.35,Apple Pay,80
TXN-0110,2025-08-15,Transportation,Parking Meter,6.63,Debit Card,90
TXN-0111,2025-08-15,Groceries,Costco,25.95,Credit Card,280
TXN-0112,2025-08-16,Dining Out,Panera,3.0,Credit Card,120
TXN-0113,2025-08-16,Groceries,Walmart,13.77,Venmo,280
TXN-0114,2025-08-16,Transportation,Metro Card,3.0,Credit Card,90
TXN-0115,2025-08-16,Transportation,Uber,3.41,Debit Card,90
TXN-0116,2025-08-17,Transportation,Metro Card,10.43,Debit Card,90
TXN-0117,2025-08-17,Entertainment,Bowling Alley,10.77,Cash,80
TXN-0118,2025-08-17,Subscriptions,Adobe CC,15.0,Debit Card,45
TXN-0119,2025-08-17,Groceries,Trader Joe's,11.75,Venmo,280
TXN-0120,2025-08-17,Health,CVS Pharmacy,9.08,Apple Pay,60
TXN-0121,2025-08-17,Health,GNC,3.0,Credit Card,60
TXN-0122,2025-08-17,Transportation,Uber,9.57,Credit Card,90
TXN-0123,2025-08-18,Utilities,Internet Provider,74.3,Venmo,100
TXN-0124,2025-08-18,Transportation,Parking Meter,7.27,Debit Card,90
TXN-0125,2025-08-18,Entertainment,AMC Theaters,7.84,Venmo,80
TXN-0126,2025-08-18,Groceries,Costco,30.9,Cash,280
TXN-0127,2025-08-19,Dining Out,Chipotle,12.23,Apple Pay,120
TXN-0128,2025-08-19,Groceries,Costco,13.37,Cash,280
TXN-0129,2025-08-20,Clothing,Uniqlo,45.52,Credit Card,50
TXN-0130,2025-08-20,Textbooks,eBay,52.02,Venmo,60
TXN-0131,2025-08-21,Health,Campus Health Center,35.31,Cash,60
TXN-0132,2025-08-21,Subscriptions,ChatGPT Plus,15.0,Venmo,45
TXN-0133,2025-08-21,Dining Out,Pizza Hut,9.08,Debit Card,120
TXN-0134,2025-08-21,Transportation,Lyft,4.9,Credit Card,90
TXN-0135,2025-08-21,Groceries,Safeway,8.94,Credit Card,280
TXN-0136,2025-08-21,Dining Out,Chick-fil-A,12.65,Cash,120
TXN-0137,2025-08-23,Rent,Campus Housing Office,850.0,Credit Card,850
TXN-0138,2025-08-23,Transportation,Parking Meter,6.97,Credit Card,90
TXN-0139,2025-08-23,Groceries,Walmart,9.6,Credit Card,280
TXN-0140,2025-08-23,Dining Out,Panera,15.86,Credit Card,120
TXN-0141,2025-08-23,Groceries,Aldi,18.61,Venmo,280
TXN-0142,2025-08-25,Textbooks,Campus Bookstore,70.88,Venmo,60
TXN-0143,2025-08-25,Entertainment,Concert Tickets,25.38,Debit Card,80
TXN-0144,2025-08-25,Groceries,Safeway,13.85,Debit Card,280
TXN-0145,2025-08-25,Textbooks,Chegg,84.25,Credit Card,60
TXN-0146,2025-08-26,Groceries,Safeway,23.97,Debit Card,280
TXN-0147,2025-08-26,Groceries,Trader Joe's,24.06,Credit Card,280
TXN-0148,2025-08-26,Entertainment,Netflix,18.88,Cash,80
TXN-0149,2025-08-28,Groceries,Walmart,7.95,Debit Card,280
TXN-0150,2025-08-28,Clothing,H&M,21.58,Credit Card,50
TXN-0151,2025-08-28,Dining Out,Chipotle,12.66,Credit Card,120
TXN-0152,2025-08-28,Groceries,Costco,15.66,Apple Pay,280
TXN-0153,2025-08-29,Groceries,Walmart,26.41,Venmo,280
TXN-0154,2025-08-29,Entertainment,Bowling Alley,13.39,Cash,80
TXN-0155,2025-08-29,Entertainment,Bowling Alley,6.0,Apple Pay,80
TXN-0156,2025-08-29,Transportation,Lyft,11.43,Apple Pay,90
TXN-0157,2025-08-30,Groceries,Safeway,21.53,Debit Card,280
TXN-0158,2025-08-30,Groceries,Safeway,19.29,Cash,280
TXN-0159,2025-08-31,Groceries,Safeway,22.05,Cash,280
TXN-0160,2025-08-31,Subscriptions,Adobe CC,15.0,Apple Pay,45
TXN-0161,2025-08-31,Textbooks,Amazon,90.25,Debit Card,60
TXN-0162,2025-09-01,Transportation,Uber,9.84,Debit Card,90
TXN-0163,2025-09-01,Transportation,Parking Meter,9.06,Apple Pay,90
TXN-0164,2025-09-01,Entertainment,Netflix,11.06,Credit Card,80
TXN-0165,2025-09-02,Groceries,Aldi,25.86,Debit Card,280
TXN-0166,2025-09-02,Groceries,Trader Joe's,34.67,Credit Card,280
TXN-0167,2025-09-03,Groceries,Aldi,11.62,Cash,280
TXN-0168,2025-09-03,Transportation,Gas Station,3.0,Venmo,90
TXN-0169,2025-09-03,Transportation,Gas Station,7.26,Venmo,90
TXN-0170,2025-09-04,Transportation,Parking Meter,6.88,Debit Card,90
TXN-0171,2025-09-04,Groceries,Walmart,22.58,Credit Card,280
TXN-0172,2025-09-05,Textbooks,Amazon,69.66,Debit Card,60
TXN-0173,2025-09-05,Textbooks,eBay,98.99,Debit Card,60
TXN-0174,2025-09-05,Dining Out,Subway,6.02,Cash,120
TXN-0175,2025-09-05,Dining Out,Chipotle,15.03,Debit Card,120
TXN-0176,2025-09-05,Groceries,Walmart,23.57,Cash,280
TXN-0177,2025-09-06,Dining Out,Pizza Hut,19.55,Apple Pay,120
TXN-0178,2025-09-06,Dining Out,Starbucks,3.94,Credit Card,120
TXN-0179,2025-09-06,Entertainment,Spotify,3.0,Credit Card,80
TXN-0180,2025-09-07,Groceries,Walmart,10.57,Credit Card,280
TXN-0181,2025-09-07,Subscriptions,ChatGPT Plus,15.0,Credit Card,45
TXN-0182,2025-09-07,Groceries,Aldi,16.26,Venmo,280
TXN-0183,2025-09-07,Transportation,Metro Card,9.48,Cash,90
TXN-0184,2025-09-08,Transportation,Metro Card,6.53,Venmo,90
TXN-0185,2025-09-08,Groceries,Trader Joe's,21.92,Venmo,280
TXN-0186,2025-09-09,Dining Out,Chipotle,7.12,Debit Card,120
TXN-0187,2025-09-09,Dining Out,Chick-fil-A,10.24,Cash,120
TXN-0188,2025-09-10,Entertainment,AMC Theaters,12.95,Credit Card,80
TXN-0189,2025-09-10,Dining Out,Chipotle,19.93,Debit Card,120
TXN-0190,2025-09-10,Textbooks,Chegg,60.87,Credit Card,60
TXN-0191,2025-09-10,Entertainment,Netflix,3.21,Venmo,80
TXN-0192,2025-09-10,Transportation,Parking Meter,11.93,Debit Card,90
TXN-0193,2025-09-11,Health,Walgreens,6.86,Credit Card,60
TXN-0194,2025-09-11,Dining Out,Panera,3.0,Debit Card,120
TXN-0195,2025-09-11,Utilities,Water Utility,99.42,Credit Card,100
TXN-0196,2025-09-12,Entertainment,Bowling Alley,18.91,Cash,80
TXN-0197,2025-09-12,Textbooks,Campus Bookstore,90.97,Debit Card,60
TXN-0198,2025-09-13,Groceries,Trader Joe's,13.62,Cash,280
TXN-0199,2025-09-14,Groceries,Aldi,15.49,Debit Card,280
TXN-0200,2025-09-14,Transportation,Parking Meter,8.55,Venmo,90
TXN-0201,2025-09-14,Entertainment,Concert Tickets,13.81,Debit Card,80
TXN-0202,2025-09-14,Dining Out,Chick-fil-A,10.24,Debit Card,120
TXN-0203,2025-09-14,Groceries,Aldi,29.51,Debit Card,280
TXN-0204,2025-09-15,Dining Out,Subway,3.0,Debit Card,120
TXN-0205,2025-09-17,Groceries,Costco,17.9,Debit Card,280
TXN-0206,2025-09-18,Dining Out,Chipotle,11.86,Debit Card,120
TXN-0207,2025-09-18,Groceries,Safeway,8.44,Debit Card,280
TXN-0208,2025-09-19,Health,CVS Pharmacy,11.42,Debit Card,60
TXN-0209,2025-09-19,Transportation,Metro Card,3.0,Credit Card,90
TXN-0210,2025-09-20,Dining Out,Chick-fil-A,7.12,Cash,120
TXN-0211,2025-09-20,Health,Campus Health Center,19.13,Venmo,60
TXN-0212,2025-09-20,Dining Out,Chick-fil-A,14.63,Credit Card,120
TXN-0213,2025-09-20,Dining Out,Thai Express,3.0,Cash,120
TXN-0214,2025-09-21,Groceries,Costco,29.78,Debit Card,280
TXN-0215,2025-09-21,Dining Out,Campus Cafe,6.75,Debit Card,120
TXN-0216,2025-09-23,Entertainment,AMC Theaters,12.69,Cash,80
TXN-0217,2025-09-23,Health,GNC,7.72,Debit Card,60
TXN-0218,2025-09-23,Rent,Campus Housing Office,850.0,Credit Card,850
TXN-0219,2025-09-24,Groceries,Walmart,12.57,Venmo,280
TXN-0220,2025-09-24,Subscriptions,Netflix,15.0,Credit Card,45
TXN-0221,2025-09-24,Groceries,Aldi,16.08,Apple Pay,280
TXN-0222,2025-09-24,Dining Out,Thai Express,5.85,Venmo,120
TXN-0223,2025-09-25,Entertainment,AMC Theaters,7.52,Venmo,80
TXN-0224,2025-09-25,Groceries,Safeway,24.31,Debit Card,280
TXN-0225,2025-09-25,Groceries,Aldi,7.91,Debit Card,280
TXN-0226,2025-09-25,Groceries,Trader Joe's,13.42,Debit Card,280
TXN-0227,2025-09-25,Groceries,Safeway,25.39,Credit Card,280
TXN-0228,2025-09-25,Transportation,Metro Card,6.19,Cash,90
TXN-0229,2025-09-26,Entertainment,AMC Theaters,4.94,Venmo,80
